date,BTC_open,BTC_high,BTC_low,BTC_close,BTC_volume,ETH_open,ETH_high,ETH_low,ETH_close,ETH_volume,BNB_open,BNB_high,BNB_low,BNB_close,BNB_volume,BTC_RSI14,BTC_EMA7,BTC_EMA21,BTC_EMA50,BTC_MACD,BTC_MACD_signal,BTC_BB_width,BTC_return1d,BTC_vol7d,ETH_RSI14,ETH_EMA7,ETH_EMA21,ETH_EMA50,ETH_MACD,ETH_MACD_signal,ETH_BB_width,ETH_return1d,ETH_vol7d,BNB_RSI14,BNB_EMA7,BNB_EMA21,BNB_EMA50,BNB_MACD,BNB_MACD_signal,BNB_BB_width,BNB_return1d,BNB_vol7d,corr_BTC_ETH_30d,corr_BTC_BNB_30d,corr_ETH_BNB_30d,fear_greed,day_of_week,month,quarter,is_weekend
2019-02-20,3946.68505859375,4000.486328125,3926.246826171875,3999.820556640625,8693373948,145.1727294921875,149.55433654785156,142.5021209716797,149.55433654785156,4500094965,10.522626876831055,11.323774337768555,10.522626876831055,10.966055870056152,118033473,76.03719353894513,3823.838678405878,3693.447746652142,3679.5963850911457,65.93317263819199,53.84813760356086,0.18653642879495697,0.013358199164869689,0.023653411193975724,78.58768049860709,137.60716079375248,126.7432795428002,125.87431690590056,5.515913614229305,4.49710355601375,0.4540324253527973,0.02895256560138937,0.04231047462828706,78.50542192711141,9.890181442129588,8.787622313139929,7.308988880830653,0.9097311362734004,0.15627879043839987,0.5619485172439003,0.03814967059972796,0.04116652721949098,0.9774133755247312,0.7735814947450834,0.8054491214419135,50.0,2,2,1,0
2019-02-21,4000.2568359375,4010.009521484375,3940.108154296875,3954.1181640625,7775128102,149.35232543945312,149.35232543945312,144.56381225585938,146.13084411621094,3995766856,10.985795021057129,10.985795021057129,10.23424243927002,10.492892265319824,85754656,71.25883507259381,3856.4085498200334,3717.1450573258107,3690.3619450508068,77.30187238595954,52.17346988106272,0.19771292957069328,-0.011426110729454764,0.02472115796295737,73.59396167868343,139.7380816243671,128.50578541311026,126.66869052199117,6.268303436207972,4.1995947023939335,0.4695263064622867,-0.02289129496786768,0.04461332718344147,70.93386927469966,10.040859147927147,8.942646854247192,7.43384783708513,0.9277542699096823,0.13944153925974534,0.5322711758364718,-0.0431480206140793,0.04683003429752696,0.9807744455735411,0.8110306651811522,0.8399183023974356,50.0,3,2,1,0
2019-02-22,3952.406494140625,4006.538330078125,3950.81640625,4005.526611328125,7826525254,146.07325744628906,149.26861572265625,145.20654296875,149.0924530029297,3731099284,10.4476957321167,10.98987865447998,10.433595657348633,10.837115287780762,82256314,73.29200713218923,3893.6880651970564,3743.361562235112,3702.721343728349,89.42899906553112,51.440477248507435,0.21107360487396873,0.013001242029855531,0.02416247883411725,75.06979874759598,142.07667446900774,130.37730064854838,127.54805375653778,7.0226026844342755,3.963115160496189,0.48769751082076723,0.02026682939272928,0.04376276850367871,72.9758454729079,10.23992318289055,9.114871257295698,7.567309305739862,0.9587616468306077,0.1363591329445365,0.5143715637436893,0.03280535182836419,0.04520143344348855,0.9834167613339981,0.8414337540439009,0.8683928685530438,50.0,4,2,1,0
2019-02-23,3998.916259765625,4166.2861328125,3968.726806640625,4142.52685546875,8922258316,148.67662048339844,159.12586975097656,147.3310546875,158.79542541503906,4519468458,10.823094367980957,10.865764617919922,10.458561897277832,10.781801223754883,81628102,77.79923265958281,3955.8977627649797,3779.6493161654425,3719.968618698561,108.83996965401411,56.681158269592345,0.22991745314884754,0.03420280463327119,0.02444607977353585,79.17616478230234,146.2563622055156,132.96076653641117,128.77344088040059,8.307574507977165,4.198469587231262,0.5149621582062192,0.06508023858135004,0.0445159452300959,72.09929922622484,10.375392693106633,9.266410345155624,7.693367812328686,0.9677165991759278,0.11625126823188514,0.4717175436914423,-0.005104131732200701,0.04384902221425195,0.9863835829936806,0.8593611717228193,0.8848340332988082,50.0,5,2,1,1
2019-02-24,4145.4580078125,4210.6416015625,3793.708984375,3810.427490234375,10794227451,158.90240478515625,165.54962158203125,135.8526611328125,135.8526611328125,5957715043,10.79788875579834,11.085545539855957,9.623884201049805,10.113093376159668,113588899,54.006456888336764,3919.5301946323284,3782.4473319898907,3723.5160254254556,96.31539645359908,35.325268055341844,0.2208495162845638,-0.08016830712779921,0.04511421797223541,55.780328556781264,143.6554369373398,133.22366604517492,129.05105736088734,7.389453577891828,2.62427892571674,0.4912915822343621,-0.14448000767189428,0.07690303721342928,62.34914011985583,10.309817863869892,9.343381529792355,7.788259010910294,0.9103602623257654,0.04711594510537809,0.4176293491370133,-0.06202190466300672,0.05495115149888946,0.9868250483192916,0.871477213661366,0.8942401774005773,50.0,6,2,1,1
2019-02-25,3807.00244140625,3913.707275390625,3807.00244140625,3882.6962890625,9318796067,135.49972534179688,142.52557373046875,135.4838409423828,139.82286071777344,4914392068,10.065573692321777,10.290169715881348,9.544574737548828,9.842012405395508,146043498,57.0823629975009,3910.321718239871,3791.5608735419464,3729.7583887053397,91.17011768225711,24.143991427199893,0.21225209922033764,0.018966060635805304,0.037630677427486575,58.08830119472942,142.6972928824482,133.82359283359298,129.4734810219417,6.90262884368633,1.7099633532089928,0.4647131026644491,0.029224304859803762,0.06787657335734788,58.8734016970967,10.192866499251295,9.38871160939264,7.868798359713636,0.8334237926263519,-0.023856419675228446,0.3840243685489601,-0.026804950837614028,0.05499149001648663,0.9875044188094352,0.8808974635744066,0.9006963156508289,50.0,0,2,1,0
2019-02-26,3878.697265625,3891.578857421875,3837.986328125,3854.35791015625,7931218996,139.64608764648438,139.9764404296875,136.57960510253906,138.0896759033203,3791292839,9.822497367858887,9.874676704406738,9.45089054107666,9.521595001220703,88437694,55.514558352321,3896.330766218966,3797.2696950523373,3734.6446444485127,83.83932924287546,13.45056239025459,0.19485064040632707,-0.007298633937987575,0.03749273292101507,56.6970897848468,141.54538863766624,134.21141856720456,129.81137101728987,6.304291259395882,0.8893006151348359,0.4231895973809887,-0.012395575412746607,0.06794970820743886,54.97250966916947,10.025048624743647,9.400791917740644,7.933613914282541,0.738087861986072,-0.09535388025240676,0.35499442548696697,-0.032556086192204736,0.037976758327795054,0.9885936489926571,0.8852018824127306,0.901073906981854,50.0,1,2,1,0
2019-02-27,3857.479736328125,3888.802490234375,3787.058837890625,3851.04736328125,8301309684,138.02957153320312,141.3362274169922,131.60292053222656,136.12596130371094,4469776860,9.52086067199707,10.115608215332031,9.435871124267578,9.899131774902344,93800328,55.323393415824654,3885.009915484537,3802.1585739822385,3739.2094569517576,76.8763108659482,5.190035210661847,0.17096458137061774,-0.0008589100836423613,0.036853292485586074,55.0872821659608,140.1905318041774,134.38546790688696,130.05900200891423,5.607014879035432,0.1536193878195089,0.37053929430991556,-0.014220575048522921,0.06627419455344867,58.46464134054538,9.993569412283321,9.44609554111898,8.010693046071552,0.6851001049748593,-0.11867330981089563,0.30279439154525084,0.03965058098283314,0.038323560098984404,0.9883207534440722,0.8881051502141231,0.9016970066893396,50.0,2,2,1,0
2019-02-28,3848.261962890625,3906.058349609375,3845.8212890625,3854.785400390625,8399767798,136.2830810546875,138.84713745117188,135.6575927734375,136.74624633789062,4535438953,9.91466236114502,10.549580574035645,9.894533157348633,10.365178108215332,100626963,55.50968591536693,3877.453786711059,3806.942830928456,3743.7418468905366,70.84306226749732,-0.6745707102312224,0.16813301124402452,0.0009706546704713048,0.03677944985128656,55.51692309614621,139.3294604376057,134.6000841278873,130.32124688456037,5.0462995424022665,-0.32567675905092575,0.3542187933409733,0.004556699017873367,0.06628919127103185,62.34676757065398,10.086471586266324,9.529648501764102,8.103025793606603,0.6729555572107024,-0.10465428606004212,0.2864626143963413,0.04707951605357685,0.0418511447187002,0.9878595937020987,0.8887897007180753,0.9001579380229937,50.0,3,2,1,0
2019-03-01,3853.757080078125,3907.79541015625,3851.6923828125,3859.583740234375,7661247975,136.83624267578125,138.99526977539062,136.43478393554688,136.44361877441406,3756124824,10.35693073272705,11.607488632202148,10.325634002685547,11.393217086791992,117838677,55.764672024013315,3872.986275091888,3811.728368138085,3748.284666237354,65.6916032987815,-4.660823743157636,0.16495751070674217,0.0012447748305945971,0.03618926938253627,55.239280442907905,138.60800002180778,134.76767818666247,130.56133989984875,4.525343737498929,-0.677306051163411,0.3358334207923246,-0.002213059382476845,0.06526065735672329,69.18803094402408,10.41315796139774,9.69906382767573,8.232052903143286,0.7377803963450624,-0.031863557540545706,0.30513872642032747,0.09918198875539308,0.05593510114465457,0.9872809349085818,0.8860514731659732,0.8910133967316538,50.0,4,3,1,0
